X	Y	Gültig
[mm]	[mm]	[1/0]
-44.734517	152.087574	1
-44.734017	152.087574	1
-44.733517	152.087574	1
-44.733017	152.087574	1
-44.732517	152.087562	1
-44.732017	152.087549	1
-44.731517	152.087562	1
-44.731017	152.087574	1
-44.730517	152.087600	1
-44.730017	152.087600	1
-44.729517	152.087600	1
-44.729017	152.087587	1
-44.728517	152.087625	1
-44.728017	152.087600	1
-44.727517	152.087562	1
-44.727017	152.087574	1
-44.726517	152.087549	1
-44.726017	152.087549	1
-44.725517	152.087499	1
-44.725017	152.087461	1
-44.724517	152.087410	1
-44.724017	152.087398	1
-44.723517	152.087435	1
-44.723017	152.087435	1
-44.722517	152.087435	1
-44.722017	152.087435	1
-44.721517	152.087448	1
-44.721017	152.087473	1
-44.720517	152.087473	1
-44.720017	152.087461	1
-44.719517	152.087423	1
-44.719017	152.087423	1
-44.718517	152.087448	1
-44.718017	152.087448	1
-44.717517	152.087461	1
-44.717017	152.087499	1
-44.716517	152.087499	1
-44.716017	152.087524	1
-44.715517	152.087549	1
-44.715017	152.087549	1
-44.714517	152.087537	1
-44.714017	152.087549	1
-44.713517	152.087537	1
-44.713017	152.087511	1
-44.712517	152.087486	1
-44.712017	152.087499	1
-44.711517	152.087486	1
-44.711017	152.087562	1
-44.710517	152.087537	1
-44.710017	152.087524	1
-44.709517	152.087511	1
-44.709017	152.087524	1
-44.708517	152.087537	1
-44.708017	152.087537	1
-44.707517	152.087537	1
-44.707017	152.087549	1
-44.706517	152.087549	1
-44.706017	152.087574	1
-44.705517	152.087549	1
-44.705017	152.087524	1
-44.704517	152.087461	1
-44.704017	152.087499	1
-44.703517	152.087499	1
-44.703017	152.087524	1
-44.702517	152.087524	1
-44.702017	152.087511	1
-44.701517	152.087524	1
-44.701017	152.087511	1
-44.700517	152.087511	1
-44.700017	152.087461	1
-44.699517	152.087435	1
-44.699017	152.087423	1
-44.698517	152.087435	1
-44.698017	152.087448	1
-44.697517	152.087423	1
-44.697017	152.087435	1
-44.696517	152.087486	1
-44.696017	152.087537	1
-44.695517	152.087537	1
-44.695017	152.087524	1
-44.694517	152.087473	1
-44.694017	152.087385	1
-44.693517	152.087284	1
-44.693017	152.087170	1
-44.692517	152.087094	1
-44.692017	152.087006	1
-44.691517	152.086930	1
-44.691017	152.086892	1
-44.690517	152.086854	1
-44.690017	152.086829	1
-44.689517	152.086778	1
-44.689017	152.086804	1
