X	Y	Gültig
[mm]	[mm]	[1/0]
-44.683367	152.085069	1
-44.682867	152.085069	1
-44.682367	152.085082	1
-44.681867	152.085069	1
-44.681367	152.085082	1
-44.680867	152.085120	1
-44.680367	152.085082	1
-44.679867	152.085069	1
-44.679367	152.085056	1
-44.678867	152.085006	1
-44.678367	152.084943	1
-44.677867	152.084879	1
-44.677367	152.084854	1
-44.676867	152.084879	1
-44.676367	152.084917	1
-44.675867	152.084993	1
-44.675367	152.085044	1
-44.674867	152.085069	1
-44.674367	152.085056	1
-44.673867	152.085056	1
-44.673367	152.085082	1
-44.672867	152.085107	1
-44.672367	152.085120	1
-44.671867	152.085120	1
-44.671367	152.085094	1
-44.670867	152.085107	1
-44.670367	152.085157	1
-44.669867	152.085195	1
-44.669367	152.085170	1
-44.668867	152.085170	1
-44.668367	152.085157	1
-44.667867	152.085145	1
-44.667367	152.085170	1
-44.666867	152.085132	1
-44.666367	152.085094	1
-44.665867	152.085082	1
-44.665367	152.085107	1
-44.664867	152.085157	1
-44.664367	152.085170	1
-44.663867	152.085170	1
-44.663367	152.085183	1
-44.662867	152.085183	1
-44.662367	152.085183	1
-44.661867	152.085195	1
-44.661367	152.085208	1
-44.660867	152.085157	1
-44.660367	152.085145	1
-44.659867	152.085183	1
-44.659367	152.085195	1
-44.658867	152.085195	1
-44.658367	152.085195	1
-44.657867	152.085195	1
-44.657367	152.085208	1
-44.656867	152.085246	1
-44.656367	152.085233	1
-44.655867	152.085208	1
-44.655367	152.085208	1
-44.654867	152.085221	1
-44.654367	152.085233	1
-44.653867	152.085233	1
-44.653367	152.085221	1
-44.652867	152.085221	1
-44.652367	152.085221	1
-44.651867	152.085221	1
-44.651367	152.085246	1
-44.650867	152.085233	1
-44.650367	152.085208	1
-44.649867	152.085208	1
-44.649367	152.085221	1
-44.648867	152.085208	1
-44.648367	152.085221	1
-44.647867	152.085145	1
-44.647367	152.085145	1
-44.646867	152.085145	1
-44.646367	152.085195	1
-44.645867	152.085221	1
-44.645367	152.085221	1
-44.644867	152.085183	1
-44.644367	152.085221	1
-44.643867	152.085233	1
-44.643367	152.085195	1
-44.642867	152.085195	1
-44.642367	152.085157	1
-44.641867	152.085132	1
-44.641367	152.085107	1
-44.640867	152.085157	1
-44.640367	152.085157	1
-44.639867	152.085170	1
-44.639367	152.085221	1
-44.638867	152.085221	1
-44.638367	152.085246	1
-44.637867	152.085246	1
-44.637367	152.085233	1
-44.636867	152.085233	1
-44.636367	152.085271	1
-44.635867	152.085271	1
-44.635367	152.085284	1
-44.634867	152.085259	1
-44.634367	152.085271	1
-44.633867	152.085322	1
-44.633367	152.085347	1
-44.632867	152.085360	1
-44.632367	152.085309	1
-44.631867	152.085296	1
-44.631367	152.085284	1
-44.630867	152.085284	1
-44.630367	152.085246	1
-44.629867	152.085233	1
-44.629367	152.085208	1
-44.628867	152.085208	1
-44.628367	152.085233	1
-44.627867	152.085221	1
-44.627367	152.085195	1
-44.626867	152.085195	1
-44.626367	152.085195	1
-44.625867	152.085195	1
-44.625367	152.085170	1
-44.624867	152.085170	1
-44.624367	152.085145	1
-44.623867	152.085157	1
-44.623367	152.085157	1
-44.622867	152.085208	1
-44.622367	152.085221	1
-44.621867	152.085208	1
-44.621367	152.085208	1
-44.620867	152.085208	1
-44.620367	152.085221	1
-44.619867	152.085183	1
-44.619367	152.085183	1
-44.618867	152.085145	1
-44.618367	152.085157	1
-44.617867	152.085145	1
-44.617367	152.085157	1
-44.616867	152.085170	1
-44.616367	152.085195	1
-44.615867	152.085221	1
-44.615367	152.085259	1
-44.614867	152.085221	1
-44.614367	152.085221	1
-44.613867	152.085221	1
-44.613367	152.085233	1
-44.612867	152.085233	1
-44.612367	152.085246	1
-44.611867	152.085233	1
-44.611367	152.085221	1
-44.610867	152.085259	1
-44.610367	152.085259	1
-44.609867	152.085246	1
-44.609367	152.085246	1
-44.608867	152.085221	1
-44.608367	152.085246	1
-44.607867	152.085233	1
-44.607367	152.085233	1
