Kraft1-P100,Kraft1-WK10-P3,Kraft1-WK11-P17,Kraft1-WK12-P28,Kraft1-WK13-P29,Kraft1-WK14-P19,Kraft1-WK15-P4
15052.743,451.58229,2558.9663100000002,4214.768040000001,4365.29547,2860.02117,602.10972
15268.968,458.06904000000003,2595.72456,4275.3110400000005,4428.00072,2901.10392,610.75872
15268.968,458.06904000000003,2595.72456,4275.3110400000005,4428.00072,2901.10392,610.75872
15268.968,458.06904000000003,2595.72456,4275.3110400000005,4428.00072,2901.10392,610.75872
1468.376,44.05128,249.62392000000003,411.14528,425.82903999999996,278.99144,58.73504
15192.978,455.78934,2582.80626,4254.03384,4405.9636199999995,2886.6658199999997,607.71912
14759.752,442.79256,2509.1578400000003,4132.730560000001,4280.32808,2804.35288,590.39008
1468.376,44.05128,249.62392000000003,411.14528,425.82903999999996,278.99144,58.73504
1468.376,44.05128,249.62392000000003,411.14528,425.82903999999996,278.99144,58.73504
15116.988,453.50964,2569.88796,4232.7566400000005,4383.926519999999,2872.22772,604.67952
15333.213,459.99638999999996,2606.6462100000003,4293.29964,4446.63177,2913.31047,613.32852
15409.203,462.27608999999995,2619.56451,4314.576840000001,4468.6688699999995,2927.7485699999997,616.36812
14748.008,442.44023999999996,2507.16136,4129.44224,4276.92232,2802.12152,589.9203200000001
14748.008,442.44023999999996,2507.16136,4129.44224,4276.92232,2802.12152,589.9203200000001
14748.008,442.44023999999996,2507.16136,4129.44224,4276.92232,2802.12152,589.9203200000001
14748.008,442.44023999999996,2507.16136,4129.44224,4276.92232,2802.12152,589.9203200000001
15333.213,459.99638999999996,2606.6462100000003,4293.29964,4446.63177,2913.31047,613.32852
14823.997,444.71990999999997,2520.07949,4150.719160000001,4298.959129999999,2816.55943,592.95988
15473.448,464.20344,2630.4861600000004,4332.56544,4487.2999199999995,2939.95512,618.9379200000001
15397.459,461.92377,2617.5680300000004,4311.288520000001,4465.26311,2925.51721,615.89836
15397.459,461.92377,2617.5680300000004,4311.288520000001,4465.26311,2925.51721,615.89836
15321.469,459.64406999999994,2604.64973,4290.0113200000005,4443.226009999999,2911.0791099999997,612.85876
15321.469,459.64406999999994,2604.64973,4290.0113200000005,4443.226009999999,2911.0791099999997,612.85876
15385.715,461.57144999999997,2615.57155,4308.0002,4461.857349999999,2923.28585,615.4286000000001
15385.715,461.57144999999997,2615.57155,4308.0002,4461.857349999999,2923.28585,615.4286000000001
15385.715,461.57144999999997,2615.57155,4308.0002,4461.857349999999,2923.28585,615.4286000000001
15309.726,459.29178,2602.65342,4286.72328,4439.82054,2908.84794,612.38904
15309.726,459.29178,2602.65342,4286.72328,4439.82054,2908.84794,612.38904
156.019,4.68057,26.52323,43.685320000000004,45.245509999999996,29.643610000000002,6.240760000000001
15373.971,461.21912999999995,2613.5750700000003,4304.71188,4458.45159,2921.05449,614.95884
15373.971,461.21912999999995,2613.5750700000003,4304.71188,4458.45159,2921.05449,614.95884
15373.971,461.21912999999995,2613.5750700000003,4304.71188,4458.45159,2921.05449,614.95884
15449.961,463.49882999999994,2626.49337,4325.98908,4480.488689999999,2935.49259,617.99844
15449.961,463.49882999999994,2626.49337,4325.98908,4480.488689999999,2935.49259,617.99844
15666.186,469.98557999999997,2663.25162,4386.53208,4543.193939999999,2976.57534,626.64744
15514.206,465.42618,2637.4150200000004,4343.977680000001,4499.11974,2947.69914,620.5682400000001
1543.822,46.314659999999996,262.44974,432.27016000000003,447.7083799999999,293.32617999999997,61.75288
1543.822,46.314659999999996,262.44974,432.27016000000003,447.7083799999999,293.32617999999997,61.75288
15502.463,465.07388999999995,2635.41871,4340.6896400000005,4495.7142699999995,2945.46797,620.09852
15578.452,467.35355999999996,2648.33684,4361.96656,4517.751079999999,2959.90588,623.13808
15578.452,467.35355999999996,2648.33684,4361.96656,4517.751079999999,2959.90588,623.13808
1564.27,46.9281,265.9259,437.9956,453.63829999999996,297.2113,62.5708
15566.708,467.00124,2646.34036,4358.67824,4514.345319999999,2957.67452,622.66832
15566.708,467.00124,2646.34036,4358.67824,4514.345319999999,2957.67452,622.66832
15566.708,467.00124,2646.34036,4358.67824,4514.345319999999,2957.67452,622.66832
15630.954,468.92861999999997,2657.26218,4376.66712,4532.976659999999,2969.88126,625.23816
