X	Y	Gültig
[mm]	[mm]	[1/0]
-44.487637	152.087587	1
-44.487137	152.087612	1
-44.486637	152.087638	1
-44.486137	152.087600	1
-44.485637	152.087612	1
-44.485137	152.087638	1
-44.484637	152.087638	1
-44.484137	152.087612	1
-44.483637	152.087587	1
-44.483137	152.087587	1
-44.482637	152.087587	1
-44.482137	152.087612	1
-44.481637	152.087562	1
-44.481137	152.087562	1
-44.480637	152.087562	1
-44.480137	152.087574	1
-44.479637	152.087574	1
-44.479137	152.087587	1
-44.478637	152.087587	1
-44.478137	152.087600	1
-44.477637	152.087625	1
-44.477137	152.087600	1
-44.476637	152.087600	1
-44.476137	152.087587	1
-44.475637	152.087600	1
-44.475137	152.087600	1
-44.474637	152.087549	1
-44.474137	152.087549	1
-44.473637	152.087524	1
-44.473137	152.087524	1
-44.472637	152.087511	1
-44.472137	152.087486	1
-44.471637	152.087499	1
-44.471137	152.087511	1
-44.470637	152.087499	1
-44.470137	152.087461	1
-44.469637	152.087435	1
-44.469137	152.087461	1
-44.468637	152.087499	1
-44.468137	152.087524	1
-44.467637	152.087524	1
-44.467137	152.087574	1
-44.466637	152.087600	1
-44.466137	152.087625	1
-44.465637	152.087638	1
-44.465137	152.087638	1
-44.464637	152.087612	1
-44.464137	152.087600	1
-44.463637	152.087574	1
-44.463137	152.087587	1
-44.462637	152.087562	1
-44.462137	152.087549	1
-44.461637	152.087537	1
-44.461137	152.087499	1
-44.460637	152.087499	1
-44.460137	152.087461	1
-44.459637	152.087448	1
-44.459137	152.087473	1
-44.458637	152.087473	1
-44.458137	152.087473	1
-44.457637	152.087473	1
-44.457137	152.087473	1
-44.456637	152.087486	1
-44.456137	152.087486	1
-44.455637	152.087511	1
-44.455137	152.087524	1
-44.454637	152.087524	1
-44.454137	152.087511	1
-44.453637	152.087511	1
-44.453137	152.087537	1
-44.452637	152.087511	1
-44.452137	152.087486	1
-44.451637	152.087499	1
-44.451137	152.087524	1
-44.450637	152.087537	1
-44.450137	152.087549	1
-44.449637	152.087562	1
-44.449137	152.087537	1
-44.448637	152.087549	1
-44.448137	152.087562	1
-44.447637	152.087562	1
-44.447137	152.087562	1
-44.446637	152.087562	1
-44.446137	152.087562	1
-44.445637	152.087600	1
-44.445137	152.087562	1
-44.444637	152.087549	1
-44.444137	152.087574	1
-44.443637	152.087537	1
-44.443137	152.087511	1
-44.442637	152.087511	1
-44.442137	152.087511	1
-44.441637	152.087511	1
-44.441137	152.087511	1
-44.440637	152.087511	1
-44.440137	152.087499	1
-44.439637	152.087524	1
-44.439137	152.087511	1
-44.438637	152.087499	1
-44.438137	152.087486	1
-44.437637	152.087461	1
-44.437137	152.087473	1
-44.436637	152.087448	1
-44.436137	152.087435	1
-44.435637	152.087448	1
-44.435137	152.087473	1
-44.434637	152.087473	1
-44.434137	152.087486	1
-44.433637	152.087486	1
-44.433137	152.087486	1
-44.432637	152.087524	1
-44.432137	152.087511	1
-44.431637	152.087499	1
-44.431137	152.087499	1
-44.430637	152.087486	1
-44.430137	152.087499	1
-44.429637	152.087511	1
-44.429137	152.087486	1
-44.428637	152.087511	1
-44.428137	152.087511	1
-44.427637	152.087499	1
-44.427137	152.087511	1
-44.426637	152.087524	1
-44.426137	152.087562	1
-44.425637	152.087562	1
-44.425137	152.087562	1
-44.424637	152.087562	1
-44.424137	152.087524	1
-44.423637	152.087562	1
-44.423137	152.087574	1
-44.422637	152.087562	1
-44.422137	152.087562	1
-44.421637	152.087574	1
-44.421137	152.087600	1
-44.420637	152.087612	1
-44.420137	152.087600	1
-44.419637	152.087574	1
-44.419137	152.087537	1
-44.418637	152.087574	1
-44.418137	152.087574	1
-44.417637	152.087562	1
-44.417137	152.087524	1
-44.416637	152.087562	1
-44.416137	152.087549	1
-44.415637	152.087537	1
-44.415137	152.087562	1
-44.414637	152.087549	1
-44.414137	152.087562	1
-44.413637	152.087549	1
-44.413137	152.087562	1
-44.412637	152.087549	1
-44.412137	152.087524	1
-44.411637	152.087537	1
-44.411137	152.087537	1
-44.410637	152.087537	1
-44.410137	152.087537	1
-44.409637	152.087574	1
-44.409137	152.087574	1
-44.408637	152.087562	1
-44.408137	152.087562	1
-44.407637	152.087549	1
-44.407137	152.087549	1
-44.406637	152.087587	1
-44.406137	152.087549	1
-44.405637	152.087562	1
-44.405137	152.087574	1
-44.404637	152.087574	1
-44.404137	152.087612	1
-44.403637	152.087600	1
-44.403137	152.087612	1
-44.402637	152.087612	1
-44.402137	152.087612	1
-44.401637	152.087600	1
-44.401137	152.087612	1
-44.400637	152.087625	1
-44.400137	152.087625	1
-44.399637	152.087650	1
-44.399137	152.087638	1
-44.398637	152.087638	1
-44.398137	152.087663	1
-44.397637	152.087676	1
-44.397137	152.087650	1
-44.396637	152.087650	1
-44.396137	152.087650	1
-44.395637	152.087625	1
-44.395137	152.087650	1
-44.394637	152.087650	1
-44.394137	152.087638	1
-44.393637	152.087625	1
-44.393137	152.087650	1
-44.392637	152.087625	1
-44.392137	152.087638	1
-44.391637	152.087638	1
-44.391137	152.087638	1
-44.390637	152.087650	1
-44.390137	152.087638	1
-44.389637	152.087625	1
-44.389137	152.087612	1
-44.388637	152.087638	1
-44.388137	152.087638	1
-44.387637	152.087612	1
-44.387137	152.087574	1
-44.386637	152.087600	1
-44.386137	152.087562	1
-44.385637	152.087562	1
-44.385137	152.087549	1
-44.384637	152.087537	1
-44.384137	152.087549	1
-44.383637	152.087549	1
-44.383137	152.087549	1
-44.382637	152.087549	1
-44.382137	152.087587	1
-44.381637	152.087587	1
-44.381137	152.087600	1
-44.380637	152.087625	1
-44.380137	152.087612	1
-44.379637	152.087638	1
-44.379137	152.087663	1
-44.378637	152.087676	1
-44.378137	152.087688	1
-44.377637	152.087713	1
-44.377137	152.087663	1
-44.376637	152.087650	1
-44.376137	152.087612	1
-44.375637	152.087587	1
-44.375137	152.087612	1
-44.374637	152.087587	1
-44.374137	152.087587	1
-44.373637	152.087587	1
-44.373137	152.087587	1
-44.372637	152.087574	1
-44.372137	152.087549	1
-44.371637	152.087524	1
-44.371137	152.087537	1
-44.370637	152.087549	1
-44.370137	152.087587	1
-44.369637	152.087587	1
-44.369137	152.087574	1
-44.368637	152.087587	1
-44.368137	152.087612	1
-44.367637	152.087638	1
-44.367137	152.087650	1
-44.366637	152.087638	1
-44.366137	152.087638	1
-44.365637	152.087638	1
-44.365137	152.087638	1
-44.364637	152.087625	1
-44.364137	152.087612	1
-44.363637	152.087612	1
-44.363137	152.087625	1
-44.362637	152.087625	1
-44.362137	152.087587	1
-44.361637	152.087625	1
-44.361137	152.087625	1
-44.360637	152.087612	1
-44.360137	152.087625	1
-44.359637	152.087612	1
-44.359137	152.087625	1
-44.358637	152.087612	1
-44.358137	152.087612	1
-44.357637	152.087600	1
-44.357137	152.087574	1
-44.356637	152.087562	1
-44.356137	152.087574	1
-44.355637	152.087549	1
-44.355137	152.087524	1
-44.354637	152.087499	1
-44.354137	152.087537	1
-44.353637	152.087549	1
-44.353137	152.087574	1
-44.352637	152.087562	1
-44.352137	152.087587	1
-44.351637	152.087600	1
-44.351137	152.087625	1
-44.350637	152.087638	1
-44.350137	152.087650	1
-44.349637	152.087676	1
-44.349137	152.087713	1
-44.348637	152.087726	1
-44.348137	152.087701	1
-44.347637	152.087713	1
-44.347137	152.087713	1
-44.346637	152.087688	1
