Jain
Rollenlager_Kontur_Verschleiß
17

18.03.24
17:09
Anzahl	X	Y	Gültig
[No]	[mm]	[mm]	[1/0]
389	-229.569865	159.414769	1
390	-229.569364	159.414669	1
391	-229.568862	159.414569	1
392	-229.568360	159.414468	1
393	-229.567859	159.414418	1
394	-229.567360	159.414468	1
395	-229.566861	159.414519	1
396	-229.566364	159.414669	1
397	-229.565867	159.414869	1
398	-229.565371	159.415070	1
399	-229.564875	159.415270	1
400	-229.564378	159.415471	1
401	-229.563881	159.415621	1
402	-229.563383	159.415721	1
403	-229.562883	159.415721	1
404	-229.562381	159.415621	1
405	-229.561878	159.415471	1
406	-229.561375	159.415270	1
407	-229.560871	159.415070	1
408	-229.560366	159.414819	1
409	-229.559863	159.414619	1
410	-229.559359	159.414418	1
411	-229.558857	159.414318	1
412	-229.558355	159.414218	1
413	-229.557855	159.414218	1
414	-229.557356	159.414268	1
415	-229.556858	159.414368	1
416	-229.556361	159.414519	1
417	-229.555865	159.414719	1
418	-229.555368	159.414920	1
419	-229.554871	159.415070	1
420	-229.554374	159.415220	1
421	-229.553876	159.415320	1
422	-229.553377	159.415371	1
423	-229.552877	159.415421	1
424	-229.552377	159.415371	1
425	-229.551876	159.415320	1
426	-229.551374	159.415220	1
427	-229.550872	159.415120	1
428	-229.550370	159.415020	1
429	-229.549868	159.414920	1
430	-229.549367	159.414869	1
431	-229.548867	159.414869	1
432	-229.548368	159.414920	1
433	-229.547870	159.415020	1
434	-229.547372	159.415120	1
435	-229.546875	159.415270	1
436	-229.546377	159.415371	1
437	-229.545878	159.415471	1
438	-229.545378	159.415471	1
439	-229.544878	159.415471	1
440	-229.544377	159.415421	1
441	-229.543876	159.415320	1
442	-229.543373	159.415170	1
443	-229.542869	159.414970	1
444	-229.542366	159.414819	1
445	-229.541864	159.414669	1
446	-229.541362	159.414569	1
447	-229.540861	159.414519	1
448	-229.540362	159.414569	1
449	-229.539863	159.414619	1
450	-229.539365	159.414719	1
451	-229.538868	159.414920	1
452	-229.538371	159.415070	1
453	-229.537874	159.415220	1
454	-229.537377	159.415371	1
455	-229.536878	159.415471	1
456	-229.536379	159.415521	1
457	-229.535879	159.415521	1
458	-229.535377	159.415421	1
459	-229.534875	159.415270	1
460	-229.534371	159.415070	1
461	-229.533867	159.414869	1
462	-229.533364	159.414669	1
463	-229.532860	159.414468	1
464	-229.532357	159.414318	1
465	-229.531855	159.414218	1
466	-229.531353	159.414118	1
467	-229.530853	159.414118	1
468	-229.530354	159.414168	1
469	-229.529855	159.414218	1
470	-229.529358	159.414368	1
471	-229.528860	159.414468	1
472	-229.528364	159.414669	1
473	-229.527866	159.414819	1
474	-229.527369	159.414970	1
475	-229.526872	159.415120	1
476	-229.526374	159.415220	1
477	-229.525875	159.415270	1
478	-229.525374	159.415220	1
479	-229.524872	159.415120	1
480	-229.524369	159.414970	1
481	-229.523866	159.414819	1
482	-229.523363	159.414619	1
483	-229.522860	159.414468	1
484	-229.522358	159.414368	1
485	-229.521857	159.414318	1
486	-229.521357	159.414318	1
487	-229.520859	159.414418	1
488	-229.520362	159.414569	1
489	-229.519865	159.414719	1
490	-229.519368	159.414920	1
491	-229.518871	159.415070	1
492	-229.518374	159.415220	1
493	-229.517875	159.415270	1
494	-229.517376	159.415320	1
495	-229.516875	159.415270	1
496	-229.516373	159.415170	1
497	-229.515870	159.415020	1
498	-229.515366	159.414819	1
499	-229.514864	159.414669	1
500	-229.514361	159.414519	1
501	-229.513859	159.414418	1
502	-229.513357	159.414318	1
503	-229.512858	159.414368	1
504	-229.512359	159.414418	1
505	-229.511862	159.414569	1
506	-229.511365	159.414769	1
507	-229.510868	159.414920	1
508	-229.510371	159.415070	1
509	-229.509873	159.415170	1
510	-229.509374	159.415220	1
511	-229.508873	159.415170	1
512	-229.508371	159.415070	1
513	-229.507867	159.414869	1
514	-229.507363	159.414619	1
515	-229.506858	159.414368	1
516	-229.506353	159.414068	1
517	-229.505848	159.413817	1
518	-229.505343	159.413566	1
519	-229.504841	159.413416	1
520	-229.504339	159.413316	1
521	-229.503838	159.413266	1
522	-229.503338	159.413266	1
523	-229.502839	159.413316	1
524	-229.502339	159.413316	1
525	-229.501840	159.413366	1
526	-229.501340	159.413366	1
527	-229.500840	159.413366	1
528	-229.500339	159.413316	1
529	-229.499838	159.413266	1
530	-229.499336	159.413166	1
531	-229.498834	159.413065	1
532	-229.498333	159.413015	1
533	-229.497832	159.412965	1
534	-229.497331	159.412915	1
535	-229.496830	159.412865	1
536	-229.496331	159.412915	1
537	-229.495832	159.412965	1
538	-229.495333	159.413015	1
539	-229.494834	159.413065	1
540	-229.494336	159.413166	1
541	-229.493837	159.413216	1
542	-229.493338	159.413266	1
543	-229.492838	159.413266	1
544	-229.492337	159.413216	1
545	-229.491836	159.413166	1
546	-229.491334	159.413065	1
547	-229.490832	159.412965	1
548	-229.490330	159.412865	1
549	-229.489829	159.412765	1
550	-229.489327	159.412664	1
551	-229.488825	159.412564	1
552	-229.488324	159.412514	1
553	-229.487823	159.412464	1
554	-229.487322	159.412414	1
555	-229.486822	159.412414	1
556	-229.486323	159.412464	1
557	-229.485823	159.412464	1
558	-229.485324	159.412514	1
559	-229.484825	159.412564	1
560	-229.484326	159.412614	1
561	-229.483828	159.412714	1
562	-229.483329	159.412765	1
563	-229.482829	159.412765	1
564	-229.482329	159.412765	1
565	-229.481829	159.412765	1
566	-229.481327	159.412664	1
567	-229.480826	159.412614	1
568	-229.480324	159.412514	1
569	-229.479822	159.412414	1
570	-229.479320	159.412314	1
571	-229.478819	159.412263	1
572	-229.478318	159.412213	1
573	-229.477819	159.412263	1
574	-229.477321	159.412364	1
575	-229.476823	159.412464	1
576	-229.476327	159.412664	1
577	-229.475830	159.412815	1
578	-229.475332	159.412965	1
579	-229.474835	159.413115	1
580	-229.474337	159.413216	1
581	-229.473838	159.413266	1
582	-229.473337	159.413216	1
583	-229.472836	159.413166	1
584	-229.472334	159.413065	1
585	-229.471832	159.412965	1
586	-229.471330	159.412815	1
587	-229.470828	159.412714	1
588	-229.470327	159.412664	1
589	-229.469827	159.412664	1
590	-229.469329	159.412765	1
591	-229.468830	159.412865	1
592	-229.468334	159.413065	1
593	-229.467838	159.413266	1
594	-229.467342	159.413516	1
595	-229.466846	159.413717	1
596	-229.466349	159.413867	1
597	-229.465850	159.413917	1
598	-229.465351	159.413967	1
599	-229.464849	159.413867	1
600	-229.464346	159.413717	1
601	-229.463842	159.413516	1
602	-229.463338	159.413266	1
603	-229.462833	159.413015	1
604	-229.462330	159.412815	1
605	-229.461827	159.412664	1
606	-229.461325	159.412564	1
607	-229.460825	159.412564	1
608	-229.460327	159.412664	1
609	-229.459830	159.412865	1
610	-229.459336	159.413166	1
611	-229.458843	159.413566	1
612	-229.458351	159.413967	1
613	-229.457857	159.414318	1
614	-229.457363	159.414619	1
615	-229.456866	159.414819	1
616	-229.456368	159.414920	1
617	-229.455868	159.414920	1
618	-229.455366	159.414819	1
619	-229.454863	159.414619	1
620	-229.454359	159.414418	1
621	-229.453854	159.414168	1
622	-229.453350	159.413917	1
623	-229.452848	159.413817	1
624	-229.452346	159.413717	1
625	-229.451847	159.413767	1
626	-229.451351	159.413967	1
627	-229.450854	159.414168	1
628	-229.450360	159.414468	1
629	-229.449866	159.414819	1
630	-229.449372	159.415120	1
631	-229.448877	159.415421	1
632	-229.448381	159.415621	1
633	-229.447883	159.415721	1
634	-229.447383	159.415721	1
635	-229.446882	159.415671	1
636	-229.446378	159.415471	1
637	-229.445875	159.415270	1
638	-229.445370	159.415020	1
639	-229.444866	159.414819	1
640	-229.444365	159.414719	1
641	-229.443863	159.414619	1
642	-229.443363	159.414619	1
643	-229.442865	159.414719	1
644	-229.442368	159.414920	1
645	-229.441872	159.415120	1
646	-229.441377	159.415421	1
647	-229.440882	159.415671	1
648	-229.440387	159.415922	1
649	-229.439889	159.416072	1
650	-229.439391	159.416172	1
651	-229.438891	159.416172	1
652	-229.438389	159.416072	1
653	-229.437887	159.415922	1
654	-229.437383	159.415721	1
655	-229.436879	159.415521	1
656	-229.436376	159.415320	1
657	-229.435872	159.415120	1
658	-229.435370	159.415020	1
659	-229.434869	159.414970	1
660	-229.434369	159.414970	1
661	-229.433871	159.415070	1
662	-229.433374	159.415220	1
663	-229.432877	159.415421	1
664	-229.432380	159.415571	1
665	-229.431883	159.415721	1
666	-229.431384	159.415771	1
667	-229.430885	159.415822	1
668	-229.430384	159.415771	1
669	-229.429883	159.415721	1
670	-229.429380	159.415571	1
671	-229.428877	159.415421	1
672	-229.428375	159.415270	1
673	-229.427872	159.415120	1
674	-229.427371	159.415070	1
675	-229.426870	159.415020	1
676	-229.426371	159.415070	1
