Time,MT1,MT2,MQF,FROX,FROY,FROZ,MROX,MROY,MROZ
173837.3759999979,525.0,525.0,150.0,600.0,-1450.0,28500.0,4437.5,-13500.0,0.0
175861.58399999788,120.0,140.0,15.0,333.333333333333,-950.0,26000.0,4900.0,-3000.0,-3500.0
179461.58399999788,525.0,522.5,162.142857142857,1000.0,-1400.0,29000.0,-5450.0,-12500.0,5000.0
181720.2239999979,122.5,140.0,10.0,14.2857142857143,214.285714285714,24428.5714285714,4861.11111111111,-3166.66666666667,-8500.0
182130.47999999792,525.0,522.5,160.0,1000.0,-1420.0,29000.0,3500.0,-13000.0,5600.0
185536.51199999783,127.5,142.5,10.0,150.0,-841.666666666667,25000.0,4583.33333333333,-3083.33333333333,-8000.0
187477.34399999777,135.0,142.5,10.0,100.0,200.0,24500.0,4500.0,-3500.0,-8500.0
190243.72799999782,140.0,150.0,15.0,400.0,-950.0,26000.0,5000.0,-3500.0,-3000.0
192661.1999999979,522.5,522.5,146.25,1188.88888888889,-1666.66666666667,29500.0,-3312.5,-13500.0,4888.88888888889
192961.1999999979,140.0,155.0,10.0,400.0,-955.555555555556,26000.0,4750.0,-3500.0,-2277.77777777778
196561.1999999979,522.5,522.5,82.2727272727273,900.0,-1575.0,30000.0,2000.0,-11500.0,1500.0
197608.51199999804,142.5,155.0,10.0,200.0,-850.0,25000.0,4750.0,-3892.85714285714,-8000.0
198860.87999999805,142.5,155.0,10.0,100.0,160.0,24500.0,4750.0,-3500.0,-8500.0
202460.87999999805,522.5,522.5,155.0,850.0,-1385.0,28000.0,-4937.5,-12500.0,2500.0
206060.87999999805,150.0,155.0,10.0,400.0,-1200.0,26500.0,5000.0,-4045.45454545455,-6000.0
207228.57599999805,522.5,522.5,152.5,900.0,-1283.33333333333,29000.0,3708.33333333333,-12500.0,3500.0
210828.57599999805,150.0,155.0,14.375,200.0,-850.0,25000.0,4750.0,-3500.0,-7500.0
211495.5839999982,522.5,522.5,158.75,928.571428571429,-1350.0,29000.0,3750.0,-12500.0,4285.71428571429
211795.58399999823,155.0,155.0,10.0,400.0,-1230.0,26500.0,4500.0,-4000.0,-5500.0
215182.31999999803,522.5,522.5,140.0,880.0,-1550.0,30000.0,4750.0,-13500.0,1000.0
218782.31999999803,155.0,155.0,10.0,200.0,25.0,25000.0,4678.57142857143,-4000.0,-7500.0
222382.31999999803,522.5,520.0,160.0,900.0,-1150.0,28500.0,-4428.57142857143,-12500.0,4500.0
224751.26399999793,155.0,160.0,10.0,140.0,110.0,25000.0,4750.0,-3500.0,-8100.0
225403.87199999794,520.0,520.0,56.4285714285714,636.363636363636,-1186.36363636364,28068.1818181818,4125.0,-13000.0,1500.0
229003.87199999794,155.0,162.5,10.0,200.0,-50.0,25000.0,4750.0,-3500.0,-6750.0
229303.87199999794,520.0,520.0,140.0,900.0,-1150.0,28500.0,4000.0,-12500.0,4500.0
232903.8719999979,155.0,165.0,10.0,400.0,-1250.0,26500.0,4500.0,-4000.0,-5500.0
236503.8719999979,520.0,520.0,129.0,760.0,-1670.0,29000.0,-4035.71428571429,-12500.0,2000.0
240103.8719999979,157.5,165.0,5.0,220.0,-130.0,25400.0,4500.0,-4000.0,-6000.0
243703.8719999979,160.0,167.5,5.0,263.636363636364,-900.0,25000.0,4500.0,-4000.0,-7500.0
247303.8719999979,160.0,167.5,10.0,300.0,-190.0,25500.0,4500.0,-4000.0,-5500.0
248431.39199999796,520.0,520.0,50.0,500.0,-1350.0,28000.0,4227.27272727273,-12454.5454545455,-1000.0
252031.39199999796,165.0,170.0,11.0,300.0,-287.5,25500.0,6000.0,-4000.0,-5000.0
252331.39199999793,167.5,175.0,14.1666666666667,300.0,-441.666666666667,25500.0,4500.0,-4000.0,-4250.0
253945.19999999786,520.0,520.0,144.166666666667,1200.0,-1400.0,29333.3333333333,3750.0,-12500.0,7500.0
254245.19999999786,170.0,175.0,13.5714285714286,325.0,-837.5,25500.0,6000.0,-4000.0,-4000.0
