Unnamed: 0,Fy,Fz,Time,MT1,MT2,MQF,FROX,FROY,FROZ,MROX,MROY,MROZ,R,Angle_rad,Angle_deg,Pressure Rescue_Hoist_R3,Pressure Hoist_R17,Pressure Hoist_R28,Pressure Hoist_R29,Pressure Hoist_R19,Pressure Hoist_R4,Baseline CSLIP,Baseline CNORMF_Magnitude,R Change,Load Duration,Voelligkeit Max Archard Wear,Voelligkeit Max Fleischer Wear
93.0,1125.71709123631,47.0633238872523,1175936.976,140.0,150.0,15.0,400.0,-950.0,26000.0,5000.0,-3500.0,-3000.0,1126.700459730471,0.0417830847002191,2.3939944083602005,0.1992443900352153,1.1290515435328867,1.8596143069953428,1.926029103673748,1.261881136889697,0.2656591867136204,-0.00154867,119.125,19397.685707865687,0.7684400000000218,3.231854076266667e-07,7.756449783040001e-07
94.0,24834.5578869998,175.64704807921,1178354.448,522.5,522.5,146.25,1188.88888888889,-1666.66666666667,29500.0,-3312.5,-13500.0,4888.88888888889,24835.17902750537,0.0070725688041187,0.4052283427918933,4.391823979493542,24.8870025504634,40.990357141939725,42.45429846843757,27.81488520345909,5.855765305991389,0.00437626,606.022,23708.478567774902,0.6715200000000187,1.7901855061291668e-06,4.29644521471e-06
95.0,2071.56481297815,47.0633238872523,1178358.624,140.0,155.0,10.0,400.0,-955.555555555556,26000.0,4750.0,-3500.0,-2277.77777777778,2072.099353511919,0.0227148235958859,1.3014635244284405,0.3664276234356105,2.07642319946846,3.4199911520656983,3.5421336932109018,2.3207082817588667,0.488570164580814,-0.00110906,182.606,22763.07967399345,0.0011599999999937,1.8024487254000004e-06,4.325876940960001e-06
96.0,21398.5951378195,175.64704807921,1186202.16,522.5,522.5,82.2727272727273,900.0,-1575.0,30000.0,2000.0,-11500.0,1500.0,21399.31601144792,0.0082081605009472,0.4702929542702623,3.7842299868162974,21.44396992529236,35.31947987695211,36.580889872557535,23.966789916503217,5.04563998242173,0.00385149,559.708,19327.216657936,2.1787599999999574,1.534285713625e-06,3.6822857126999996e-06
97.0,5410.99106133859,47.903740385239,1187249.472,142.5,155.0,10.0,200.0,-850.0,25000.0,4750.0,-3892.85714285714,-8000.0,5411.203104137658,0.008852812431913,0.5072287891695628,0.956910820910188,5.422494651824398,8.931167661828422,9.25013793546515,6.060435199097856,1.2758810945469172,5.5654e-05,291.045,15988.112907310264,0.2909200000000419,1.345549526878333e-06,3.229318864508e-06
99.0,6076.43344603725,47.903740385239,1203722.784,142.5,155.0,10.0,100.0,160.0,24500.0,4750.0,-3500.0,-8500.0,6076.622268371058,0.007883365866065,0.451683592483023,1.074582766768045,6.089302345018923,10.029439156501756,10.387633412091102,6.805690856197619,1.4327770223573937,0.000280074,309.369,12534.402883524632,0.3478800000000046,5.6143712449999995e-08,1.3474490988e-07
100.0,21508.2986829506,175.64704807921,1212154.56,522.5,522.5,155.0,850.0,-1385.0,28000.0,-4937.5,-12500.0,2500.0,21509.01587987032,0.0081662964658845,0.4678943217477858,3.8036291830995688,21.553898704230896,35.50053904226265,36.76841543662916,24.08965149296393,5.071505577466092,0.0038568,561.232,15432.39361149926,2.34216000000002,1.2974588468025e-06,3.1139012323260003e-06
101.0,2302.77974105199,50.4249898791989,1216478.592,150.0,155.0,10.0,400.0,-1200.0,26500.0,5000.0,-4045.45454545455,-6000.0,2303.331764076506,0.0218939448428407,1.2544306363869882,0.4073184921677798,2.308138122284086,3.801639260232612,3.937412090955205,2.5796837837292723,0.5430913228903731,-0.0010211,193.149,19205.68411579381,1.2011199999999695,1.5332479499583333e-06,3.6797950799e-06
102.0,22881.1615569321,175.64704807921,1217646.288,522.5,522.5,152.5,900.0,-1283.33333333333,29000.0,3708.33333333333,-12500.0,3500.0,22881.835723558685,0.0076763409740789,0.4398219399180697,4.0463970368105375,22.92958320859305,37.76637234356503,39.1151713558352,25.62718123313341,5.395196049080719,0.0041065,579.755,20578.50395948218,0.324359999999999,1.651309396e-06,3.9631425504e-06
103.0,4372.56857817022,50.4249898791989,1225634.112,150.0,155.0,14.375,200.0,-850.0,25000.0,4750.0,-3500.0,-7500.0,4372.859322046144,0.011531609812273,0.6607125732348919,0.7732913222910314,4.381984159649178,7.217385674716294,7.475149448813303,4.897511707843199,1.0310550963880418,-0.00030777,261.267,18508.97640151254,2.2188400000000064,1.5468742433083331e-06,3.7124981839399994e-06
